Pattern String,Comment,Pattern Category,Pattern Type,Where in website?,Deceptive?,Website Page
Collin P. from Grandview Missouri just bought BURGUNDY TWO BUTTON SUIT ABOUT 5 SECONDS AGO,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://alaindupetit.com/collections/all-suits/products/black-two-button?variant=28038644166
"Faith in Glendale, United States purchased a Choose Your Flavors 5 Bag Sample Pack (Whole Bean) about 1 hour ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://bonescoffee.com/products/strawberry-cheesecake-by-bones-coffee-company-16oz?variant=31049004609
Sharmeen Atif From Karachi just bought Stylish Metal Glasses Frames For Kids-Assorted-NA7157,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://brandsego.com/collections/under-rs-99/products/b-s-n-lip-gloss-na6977
9 people are viewing this.,Product detail,Social Proof,Activity Notification,Product Page,No,https://brightechshop.com/products/ambience-solar-1w?variant=8038410879012
5338 people viewed this in the last hour,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://bumpboxes.com/
"Keith in Champaign, Illinois bought Mini USB Audio Cassette to MP3 Converterabout 56 minutes ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://casettetomp3.com/products/mini-usb-audio-cassette-tape-converter-to-mp3-cd-player-pc?variant=2859265032202&utm_source=fomo&utm_medium=notification
Jamie from Eloy United States purchased a CBD Oil Vape Additives 4 Pack About 7 hours ago,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://cbdfx.com/products/og-kush-cbd-terpenes-vape-pen-50mg/
"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://chainedandable.com/collections/old-english/products/st-christopher-cut-out-pendant-figaro
"Chelsea in Burlington, Wisconsin bought Take Out The Boat Jumpsuit, Blackabout 13 minutes ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://chicsoul.com/collections/new-arrivals/products/beauty-in-simplicity-top-navy?variant=20864560922713
"Crystal Li in Flushing, United States purchased a",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://cokodive.com/collections/kpop/products/young-wild-mang-sweater
🔥 2 people are looking right now,Product detail,Social Proof,Activity Notification,Product Page,No,https://countycomm.com/collections/watch-bands/products/maratac-s-series-zulu-bands
3 people bought this item last week.,Product detail,Social Proof,Activity Notification,Product Page,No,https://czechbeadsexclusive.com/en/shiny-yellow-gold-czech-glass-cube-seed-beads-6-0-preciosa-seed-beads-size-6-pearls-rocaille-beads-czech-glass-spacer-beads-3mm-x-3mm-20g/
No thanks! I don't like deals,Popup,Misdirection,Confirmshaming,Product Page,No,https://koala.com/products/koala-mattress
"No, I'll rather pay full price.",Popup,Misdirection,Confirmshaming,Product Page,No,https://biofinest.com/en/home/445-barley-grass-juice-powder-organic-superfood.html
I don't like discounts,Popup,Misdirection,Confirmshaming,Product Page,No,https://uk.scitecnutrition.com/products/vita-greens-fruits
"No, thanks. I don't like great deals.",Popup,Misdirection,Confirmshaming,Product Page,No,https://bonescoffee.com/products/strawberry-cheesecake-by-bones-coffee-company-16oz?variant=31049004609
"No Thanks, I rather pay full price",Popup,Misdirection,Confirmshaming,Product Page,No,https://bumpboxes.com/
"No thanks, I’ll skip this amazing super-saver deal. I don’t need so many beautiful textures",Bottom of page,Misdirection,Confirmshaming,Product Page,No,https://cgelves.com/shop/seamless-fabric-material-textures-tileable-fancy-lace-trims-mega-bundle-for-3d-cg-artists/
"No, I don't feel lucky",Sidewheel popup,Misdirection,Confirmshaming,Product Page,No,https://chicdelta.com/products/adjustable-heel-ankle-belt
"No thanks, I don't like saving money",Popup,Misdirection,Confirmshaming,Product Page,No,https://chicsoul.com/collections/new-arrivals/products/beauty-in-simplicity-top-navy?variant=20864560922713
"No thanks, I'd like 0% off",Popup,Misdirection,Confirmshaming,Product Page,No,https://criquetshirts.com/products/cotton-cashmere-pocket-crew-neck-sweater-charcoal-hthr
"No thanks, I despise coupons!",Popup,Misdirection,Confirmshaming,Product Page,No,https://cuddleclones.com/product/plush-cuddle-clone
"No thanks, I don't want to build one.. I'd rather kick rocks!",Popup,Misdirection,Confirmshaming,Product Page,No,https://diyelectricskateboard.com/products/electric-skateboard-motor-6374-190kv?utm_source=show-recent-order&utm_medium=notification
"No, I don't feel lucky.",Sidewheel popup,Misdirection,Confirmshaming,Product Page,No,https://diyelectricskateboard.com/products/electric-skateboard-motor-6374-190kv?utm_source=show-recent-order&utm_medium=notification
"50% OFF Everything (yep, even sale) + $5.99 Shipping* ENDS IN 12h 13m 56s",Banner,Urgency,Countdown Timer,Product Page,No,https://www.nastygal.com/can-you-feel-the-lace-tonight-bodysuit/AGG85953-1.html?color=105
Your order is reserved for 09:45 minutes!,"Conversion pirate plugin, resets",Urgency,Countdown Timer,Checkout Process,Yes,https://adogadgets.com/collections/most-popular/products/quadcopter-wifi-hd-camera-drone
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds Sale Ends Once The Timer Hits Zero!,Product detail,Urgency,Countdown Timer,Product Page,Yes,https://begears.com/products/audio-transmission-set-for-guitar-bass-violin?variant=15210532077611
Your order is reserved for 09:45 minutes!,Timer resets,Urgency,Countdown Timer,Checkout Process,Yes,https://blade-city.com/products/closeout-free-lighter-knife
Your order is reserved for 08:48 minutes!,"Counter simply ends and says ""hurry up""",Urgency,Countdown Timer,Cart Page,Yes,https://briogeohair.com/collections/farewell-frizz/products/farewell-frizz-smoothing-shampoo
HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,Popup,Urgency,Countdown Timer,Product Page,Yes,https://bumpboxes.com/
00DAYS02HRS14MINS1211SEC,Product detail. Hurrify plugin.,Urgency,Countdown Timer,Product Page,Yes,https://casettetomp3.com/products/mini-usb-audio-cassette-tape-converter-to-mp3-cd-player-pc?variant=2859265032202&utm_source=fomo&utm_medium=notification
"Due To HIGH Demand, Cart Expires In: 08:41",Resets,Urgency,Countdown Timer,Cart Page,Yes,https://commonpanda.com/products/colorwax
Your order is reserved for 09:45 minutes!,"Conversion pirate plugin, resets",Urgency,Countdown Timer,Checkout Process,Yes,https://dailygifty.com/products/100-natural-bamboo-charging-dock-station-for-mobile-phone-and-watch
Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,Product detail,Urgency,Countdown Timer,Product Page,No,https://desirewear.co/products/active-leggings
Your order is reserved for 09:45 minutes!,"Conversion pirate plugin, resets",Urgency,Countdown Timer,Checkout Process,Yes,https://diyelectricskateboard.com/products/electric-skateboard-motor-6374-190kv?utm_source=show-recent-order&utm_medium=notification
Cart will expire in 04:53 minutes!,Above contact information. Resets,Urgency,Countdown Timer,Cart Page,Yes,https://electricfireplacesdepot.com/collections/electric-fireboxe-inserts/products/dimplex-revillusion-36-inch-built-in-electric-fireplace-firebox-heater-rbf36
"I’ve read and accept the terms & conditions * , I also authorize Bosley to contact me by phone or text utilizing automated dialing equipment, as well as by email or mail with information about appointments, products, services, news or promotions. I also agree to Bosley's Terms of Service. Otherwise, call Bosley at 800-985-6405 to request your FREE information kit or to schedule your FREE no-obligation consultation.",,Forced Action,Forced Enrollment,Checkout Process,No,https://www.bosley.com/product/theradome-laser-helmet/
I accept the Terms & Conditions of the FREE Brother Care Program and agree to receive exclusive offers and general promotions from Brother. I may withdraw my consent at any time.,Popup,Forced Action,Forced Enrollment,Product Page,No,https://www.brother.ca/en/p/RHLL5000D
I would like to join Backstage Pass & agree to the Terms & Conditions & to receive emails & other promotional offers.,Lumping them all in one,Forced Action,Forced Enrollment,Checkout Process,No,https://www.musiciansfriend.com/pro-audio/gemini-pa-300bt-portable-line-array-column-pa-speaker-system
I agree to receive marketing emails from Natural Life and agree to our Privacy Policy and terms of use.,,Forced Action,Forced Enrollment,Checkout Process,No,https://www.naturallife.com/you-make-the-world-a-better-place-bud-vase.html
"You may change the items in your order, or cancel the Smartship at anytime, up until 3 days prior to the scheduled ship date of your Smartship by calling Customer Service at 1-800-518-0284.",Call to cancel subscription,Obstruction,Hard to Cancel,Cart Page,No,https://elevacity.com/prd_details_popup.php?id=28
"If you wish to cancel your subscription, you can email us at getflat@flattummyco.com",Email to cancel,Obstruction,Hard to Cancel,Other Page,No,https://flattummyco.com/pages/faqs#faq-payment
"There is no commitment and no minimum to buy. Please note exact shipment times may vary. To customize this program or future shipments, call customer service anytime at 1-800-THICKEN (844-2536).",Call to cancel auto-renewal,Obstruction,Hard to Cancel,Product Page,No,https://gettoppik.com/h4/cart.aspx
"Members may cancel their Membership at any time during their Membership term and receive a full refund, less any benefits/savings received in their current Membership term (for example, Buyer’s Club Discounts received or free shipping). Refunds for completed years completed will not be made, even if the Member did not use any of the benefits during the Membership term. To cancel your membership, please contact our customer service department by contacting us at 1-800-375-3006.","Call to cancel ""Buyer's club""",Obstruction,Hard to Cancel,Other Page,No,https://image.sportsmansguide.com/image/pdf/sg-buyers-club-terms-conditions.pdf
"Ketolent subscriptions have no long term contracts. Pause, cancel, or change at any time. Want to swap Vanilla for Chocolate, or set up to renew every 3 weeks? No problem! Send us an email to help@ketolent.com and we'll make the change for you.",Email to cancel or modify subscription,Obstruction,Hard to Cancel,Other Page,No,https://sated.com/pages/how-subscriptions-work
Purchase Benefit Club Member can cancel the Purchase Benefits at any time by calling MDG’s Customer Service department at: 1-800-906-0975 ext. 352 and requesting to cancel the Purchase Benefits.,MDG Membership: https://secure.mdg.com/Membership.aspx Call to cancel,Obstruction,Hard to Cancel,Other Page,No,https://secure.mdg.com/pdf/USWPMDGClubPrivilegesandConditions-02-21-19.pdf
"We will also send you an additional email confirming your renewal. Should you elect not to renew your Membership, you may cancel at any time prior to the renewal by emailing us at passportmembership@1800flowers.com and your credit/debit card on file with us will not be charged. A confirmation email will be sent to you. If you email to cancel after your Membership has been renewed, your credit/debit card will have been charged the then current paid annual membership fee for the Passport Program, however you may request, and 1-800-Flowers may grant, a pro-rata refund within its sole discretion based upon the extent that you may have utilized the benefits of the Passport Program and the period of time remaining on your paid Membership.",Email to cancel,Obstruction,Hard to Cancel,Other Page,No,https://www.1800flowers.com/passport-terms-and-conditions
"If you wish to cancel a membership, please contact our Customer Services Department on UK: +44 808 164 8264 (standard local call charges will apply) or via email on customer.service@beautypie.com. You can also contact the Customer Services Department by post at: Beauty Pie Limited, Customer Service Department, The Point, 210 New Kings Road, London SW6 5NZ, United Kingdom. Please quote your order number in all correspondence.",Call to cancel,Obstruction,Hard to Cancel,Other Page,No,https://www.beautypie.com/help
